model,questions,recall@1,recall@3,recall@5,mrr,average_rank_when_found,results_file
sentence-transformers/all-MiniLM-L6-v2,50,0.52,0.68,0.74,0.6106666666666666,1.5135135135135136,evaluation/results/all-minilm-l6-v2.csv
BAAI/bge-small-en-v1.5,50,0.56,0.86,0.92,0.7173333333333332,1.5869565217391304,evaluation/results/bge-small-en-v1-5.csv
